,final_review_text,final_rating,sentiment,clean_review
3230,Great for outdoor alsoREAD MORE,5.0,1.0,great outdoor alsoread
3231,ExcellentREAD MORE,5.0,1.0,excellentread
3232,Original productREAD MORE,5.0,1.0,original productread
3233,Superb..👍👍READ MORE,5.0,1.0,superbread
3234,Nic shuttle corkREAD MORE,5.0,1.0,nic shuttle corkread
3235,SuperREAD MORE,4.0,1.0,superread
3236,Local totally burstREAD MORE,1.0,0.0,local totally burstread
3237,Good quality product.READ MORE,5.0,1.0,good quality productread
3238,"I got this for 656 but seemed a fake product as the shuttle was not sturdy compared to other people who were using the same Mavis 350 green cap, disappointed with the purchase.READ MORE",1.0,0.0,got seemed fake product shuttle sturdy compared people using mavis green cap disappointed purchaseread
3239,BadREAD MORE,1.0,0.0,badread
3240,Good productREAD MORE,5.0,1.0,good productread
3243,Good qualityREAD MORE,5.0,1.0,good qualityread
3244,Flight is good... using regularly... perfect in indoor...no issue..best in marketREAD MORE,5.0,1.0,flight good using regularly perfect indoorno issuebest marketread
3245,GoodREAD MORE,5.0,1.0,goodread
3246,v goodREAD MORE,5.0,1.0,v goodread
3247,Thanks flipcart. I got the original productREAD MORE,5.0,1.0,thanks flipcart got original productread
3248,As usual nothing to say about the quality of this product. I buys one pack in every month. Highly recommended for intermediate players.READ MORE,5.0,1.0,usual nothing say quality product buy one pack every month highly recommended intermediate playersread
3250,Very nice Shuttle 😄🙂READ MORE,5.0,1.0,nice shuttle read
3251,GreatREAD MORE,4.0,1.0,greatread
3252,Good productREAD MORE,4.0,1.0,good productread
3253,SupperREAD MORE,5.0,1.0,supperread
3254,Nyc product... thank you so much FlipkartREAD MORE,5.0,1.0,nyc product thank much flipkartread
3255,very good quality productREAD MORE,5.0,1.0,good quality productread
3256,goodREAD MORE,4.0,1.0,goodread
3257,Its a good quality product.. must tryREAD MORE,5.0,1.0,good quality product must tryread
3258,Its normal and coolREAD MORE,1.0,0.0,normal coolread
3259,One of the Best But some shuttles are bad they are not properly attachedREAD MORE,5.0,1.0,one best shuttle bad properly attachedread
3260,NiceREAD MORE,4.0,1.0,niceread
3261,Shuttle good and price is to good compare. To marketREAD MORE,5.0,1.0,shuttle good price good compare marketread
3262,Nice productREAD MORE,5.0,1.0,nice productread
3263,Flipkart proudak is very Good quality...!!  I Like it...READ MORE,5.0,1.0,flipkart proudak good quality like itread
3264,Very goodREAD MORE,4.0,1.0,goodread
3265,Good qualityREAD MORE,5.0,1.0,good qualityread
3266,Good product 😃READ MORE,4.0,1.0,good product read
3267,Bad shuttleREAD MORE,1.0,0.0,bad shuttleread
3268,Now a days mavis 350 have low quality..brocken the crok after two matches..most of the cork in the box are useless.. bad product.. please improve the quality as the old..READ MORE,2.0,0.0,day mavis low qualitybrocken crok two matchesmost cork box useless bad product please improve quality oldread
3269,NiceREAD MORE,4.0,1.0,niceread
3271,"Nice product , Thanks to flipkartREAD MORE",5.0,1.0,nice product thanks flipkartread
3272,nice productREAD MORE,5.0,1.0,nice productread
3273,Excellent product recived by seller and gret dilivery by flipkartREAD MORE,5.0,1.0,excellent product recived seller gret dilivery flipkartread
3274,NYCREAD MORE,5.0,1.0,nycread
3275,Superb productREAD MORE,4.0,1.0,superb productread
3276,Good product. Correct speedREAD MORE,5.0,1.0,good product correct speedread
3277,SuperREAD MORE,5.0,1.0,superread
3278,Most professional shuttleREAD MORE,5.0,1.0,professional shuttleread
3279,Coke is not as per original...cannt play more than 5 days ... quality is not good ...READ MORE,2.0,0.0,coke per originalcannt play day quality good read
3280,GoodREAD MORE,4.0,1.0,goodread
3281,Got as described.READ MORE,5.0,1.0,got describedread
3282,Value for moneyREAD MORE,4.0,1.0,value moneyread
3284,Super productREAD MORE,5.0,1.0,super productread
3285,Very niceREAD MORE,5.0,1.0,niceread
3286,Best Quality productsREAD MORE,5.0,1.0,best quality productsread
3287,Supr qualityREAD MORE,5.0,1.0,supr qualityread
3288,Very good..READ MORE,5.0,1.0,goodread
3289,Good product 👌READ MORE,5.0,1.0,good product read
3291,Good qualityREAD MORE,5.0,1.0,good qualityread
3292,Good one.READ MORE,1.0,0.0,good oneread
3293,Quality  is not goodREAD MORE,2.0,0.0,quality goodread
3294,good productREAD MORE,5.0,1.0,good productread
3295,Blindly we can go for it for indoor and outdoorREAD MORE,5.0,1.0,blindly go indoor outdoorread
3296,Really nice product for meREAD MORE,5.0,1.0,really nice product meread
3298,GoodREAD MORE,5.0,1.0,goodread
3299,Superb qualityREAD MORE,5.0,1.0,superb qualityread
3300,The bottom sole is very hard.READ MORE,4.0,1.0,bottom sole hardread
3302,Not badREAD MORE,1.0,0.0,badread
3303,Better than Yonex Mavis 200iREAD MORE,5.0,1.0,better yonex mavis iread
3304,Good productREAD MORE,4.0,1.0,good productread
3305,BestREAD MORE,5.0,1.0,bestread
3306,Good shuttle forever.....READ MORE,4.0,1.0,good shuttle foreverread
3307,"Good, got below market price.READ MORE",4.0,1.0,good got market priceread
3308,Excellent quality!READ MORE,5.0,1.0,excellent qualityread
3309,Original productREAD MORE,5.0,1.0,original productread
3310,"Yonex is Yonex , no comparison , good service and timely deliveredREAD MORE",5.0,1.0,yonex yonex comparison good service timely deliveredread
3311,Good quality productREAD MORE,5.0,1.0,good quality productread
3313,More gap between fork and featherREAD MORE,1.0,0.0,gap fork featherread
3314,One of the six shuttle was damaged.Bottom part of the shuttle got separated.READ MORE,2.0,0.0,one six shuttle damagedbottom part shuttle got separatedread
3315,SuperREAD MORE,5.0,1.0,superread
3316,"I ordered two boxes one is good but in other box 4 shuttle didnt spin well , so go its not good experience to purchase boxes onlineREAD MORE",1.0,0.0,ordered two box one good box shuttle didnt spin well go good experience purchase box onlineread
3317,Good qulit better emporve to qulatieyREAD MORE,5.0,1.0,good qulit better emporve qulatieyread
3318,Delivery was good and product is excellent.READ MORE,5.0,1.0,delivery good product excellentread
3319,Very nice productREAD MORE,5.0,1.0,nice productread
3320,Very goodREAD MORE,5.0,1.0,goodread
3321,Great and perfect with no defectREAD MORE,5.0,1.0,great perfect defectread
3322,NiceeeREAD MORE,5.0,1.0,niceeeread
3324,Good ProductREAD MORE,4.0,1.0,good productread
3325,It was not the same shuttles ordered before. Tags are fine but weight and quality are worse. Wasted two weeks using thoseREAD MORE,1.0,0.0,shuttle ordered tag fine weight quality worse wasted two week using thoseread
3326,Original product received before time.READ MORE,5.0,1.0,original product received timeread
3327,Its is fabulous 🙂🙂🙂 go for it....READ MORE,5.0,1.0,fabulous go itread
3328,Always great fun to play with 350sREAD MORE,5.0,1.0,always great fun play sread
3329,Perfect and orginal product deliveryREAD MORE,5.0,1.0,perfect orginal product deliveryread
3330,Unexpected price .. thanks flipkart..??READ MORE,5.0,1.0,unexpected price thanks flipkartread
3331,RecommendedREAD MORE,5.0,1.0,recommendedread
3332,Weight is little light then expectedREAD MORE,2.0,0.0,weight little light expectedread
3333,GoodREAD MORE,5.0,1.0,goodread
3334,Very niceREAD MORE,5.0,1.0,niceread
3335,GoodREAD MORE,4.0,1.0,goodread
3336,BestttREAD MORE,5.0,1.0,bestttread
3337,NiceREAD MORE,4.0,1.0,niceread
3338,Simply superREAD MORE,5.0,1.0,simply superread
3339,Best for the priceREAD MORE,4.0,1.0,best priceread
3340,Good productREAD MORE,5.0,1.0,good productread
3341,Good ProductREAD MORE,5.0,1.0,good productread
3342,Very bad product.i think it's local made.quality of wood is very poorREAD MORE,1.0,0.0,bad producti think local madequality wood poorread
3343,worthREAD MORE,5.0,1.0,worthread
3344,"Pretty good. Been using it for a month now, it's really durable.READ MORE",4.0,1.0,pretty good using month really durableread
3345,"Nice ., long lastingREAD MORE",5.0,1.0,nice long lastingread
3346,Super productREAD MORE,5.0,1.0,super productread
3347,GoodREAD MORE,5.0,1.0,goodread
3349,AwesomeREAD MORE,5.0,1.0,awesomeread
3350,I bought it for 419 in flipkart I totally bought  7 with that priceREAD MORE,5.0,1.0,bought flipkart totally bought priceread
3351,GoodREAD MORE,4.0,1.0,goodread
3352,NiceREAD MORE,5.0,1.0,niceread
3353,Great i need this long durableREAD MORE,5.0,1.0,great need long durableread
3354,Thank youREAD MORE,5.0,1.0,thank youread
3355,Nice productREAD MORE,4.0,1.0,nice productread
3356,Good qualityREAD MORE,4.0,1.0,good qualityread
3357,As per my expectationsREAD MORE,4.0,1.0,per expectationsread
3358,Excellent....READ MORE,5.0,1.0,excellentread
3359,Nice product.READ MORE,5.0,1.0,nice productread
3360,Up to the markREAD MORE,5.0,1.0,markread
3361,Excellent got it for 420 during bbd.READ MORE,5.0,1.0,excellent got bbdread
3362,100% Original productThanks Flipkart 🔥READ MORE,5.0,1.0,original productthanks flipkart read
3363,GoodREAD MORE,5.0,1.0,goodread
3364,Good qualityREAD MORE,4.0,1.0,good qualityread
3365,NiceREAD MORE,4.0,1.0,niceread
3366,#Very bad all shuttle damaged in 2 gameREAD MORE,2.0,0.0,bad shuttle damaged gameread
3367,Awesome productREAD MORE,5.0,1.0,awesome productread
3368,Excellent packing and on time deliveeyREAD MORE,5.0,1.0,excellent packing time deliveeyread
3369,Nice product...READ MORE,5.0,1.0,nice productread
3370,AmazingREAD MORE,5.0,1.0,amazingread
3372,Good oneREAD MORE,5.0,1.0,good oneread
3373,Slightly seepREAD MORE,5.0,1.0,slightly seepread
3374,NiceREAD MORE,5.0,1.0,niceread
3375,"Nice,with better strength.u can pay or practice what ever u wantREAD MORE",5.0,1.0,nicewith better strengthu pay practice ever u wantread
3376,nice oneREAD MORE,4.0,1.0,nice oneread
3377,NiceREAD MORE,5.0,1.0,niceread
3378,Mast qualityREAD MORE,5.0,1.0,mast qualityread
3379,Bad productREAD MORE,5.0,1.0,bad productread
3380,AwesomeREAD MORE,5.0,1.0,awesomeread
3381,"Nice packaging , quality product.READ MORE",5.0,1.0,nice packaging quality productread
3384,Verynice productREAD MORE,5.0,1.0,verynice productread
3385,It is super product 👍👍READ MORE,5.0,1.0,super product read
3386,Always damagedREAD MORE,2.0,0.0,always damagedread
3387,Good productREAD MORE,5.0,1.0,good productread
3388,"This shuttles are really good for the intermediate players, have good durability and strength.READ MORE",5.0,1.0,shuttle really good intermediate player good durability strengthread
3389,Worst .. I have never used such waste Mavis 350 .. all 6 corks are rotating.. We trust you so please sell decent ones ..READ MORE,1.0,0.0,worst never used waste mavis cork rotating trust please sell decent one read
3392,Good qualityREAD MORE,5.0,1.0,good qualityread
3393,SuperREAD MORE,5.0,1.0,superread
3394,excellent productREAD MORE,5.0,1.0,excellent productread
3395,"It's good,original genuine yonex Mavis 350 slow product,..READ MORE",5.0,1.0,goodoriginal genuine yonex mavis slow productread
3396,dadly bad productREAD MORE,1.0,0.0,dadly bad productread
3397,I happyREAD MORE,5.0,1.0,happyread
3398,Good quality...READ MORE,5.0,1.0,good qualityread
3399,Already used it.READ MORE,5.0,1.0,already used itread
3400,3rd class quality of shuttle.Not upto expectations.Shuttle breaks in less than 2 days.READ MORE,1.0,0.0,rd class quality shuttlenot upto expectationsshuttle break less daysread
3402,Very goodREAD MORE,4.0,1.0,goodread
3403,Original qualityREAD MORE,4.0,1.0,original qualityread
3404,I am playing at outdoor all six balls are not a original very less weight just 6 to 8 games ball fully damageREAD MORE,2.0,0.0,playing outdoor six ball original less weight game ball fully damageread
3406,GoodREAD MORE,5.0,1.0,goodread
3407,Nice oneREAD MORE,4.0,1.0,nice oneread
3408,SuperREAD MORE,5.0,1.0,superread
3409,Valuable product. Worth for the money. Good quality shuttles. My personal opinion is go for it..each penny is valuable.READ MORE,5.0,1.0,valuable product worth money good quality shuttle personal opinion go iteach penny valuableread
3410,OkREAD MORE,2.0,0.0,okread
3411,SuperREAD MORE,5.0,1.0,superread
3412,Bad qualityREAD MORE,5.0,1.0,bad qualityread
3413,as expected. Durable for 10 or more gamesREAD MORE,5.0,1.0,expected durable gamesread
3414,Excellent product and very good qualityREAD MORE,5.0,1.0,excellent product good qualityread
3415,Yeah genuine product for sureREAD MORE,5.0,1.0,yeah genuine product sureread
3416,Perfect and highly recommendREAD MORE,5.0,1.0,perfect highly recommendread
3417,Good productREAD MORE,5.0,1.0,good productread
3418,Good for the bug'sREAD MORE,4.0,1.0,good bugsread
3419,Very good shuttle.READ MORE,5.0,1.0,good shuttleread
3420,"They really are durable , I tried a lot of shuttles from Li ning , Cosco and even from yonex but this one is most durable of all but a little costly. Go for it if they are in your budget.I forgot to add , I got it for around 700 so it was nice for that priceREAD MORE",4.0,1.0,really durable tried lot shuttle li ning cosco even yonex one durable little costly go budgeti forgot add got around nice priceread
3421,GoodREAD MORE,5.0,1.0,goodread
3422,SuperREAD MORE,5.0,1.0,superread
3423,Yonex always a great one and own our heartsREAD MORE,5.0,1.0,yonex always great one heartsread
3424,Worst packing all shuttles are damagedREAD MORE,5.0,1.0,worst packing shuttle damagedread
3427,Waste of moneyREAD MORE,1.0,0.0,waste moneyread
3428,GoodREAD MORE,5.0,1.0,goodread
3429,Very goodREAD MORE,5.0,1.0,goodread
3431,Product is good and genuine.READ MORE,5.0,1.0,product good genuineread
3432,SuperREAD MORE,5.0,1.0,superread
3433,GoodREAD MORE,4.0,1.0,goodread
3435,Price  very goodREAD MORE,5.0,1.0,price goodread
3436,NicrREAD MORE,5.0,1.0,nicrread
3437,Good product recommended for purchaseREAD MORE,4.0,1.0,good product recommended purchaseread
3438,Good value for moneyREAD MORE,5.0,1.0,good value moneyread
3439,"This is best , 100% paisa wasul.READ MORE",5.0,1.0,best paisa wasulread
3441,GoodREAD MORE,5.0,1.0,goodread
3442,Too much costly looking for alternativeREAD MORE,4.0,1.0,much costly looking alternativeread
3443,OkREAD MORE,4.0,1.0,okread
3445,GoodREAD MORE,5.0,1.0,goodread
3446,Now bedREAD MORE,2.0,0.0,bedread
3447,Good productREAD MORE,4.0,1.0,good productread
3448,Nice productREAD MORE,5.0,1.0,nice productread
3449,Super💞💞😍READ MORE,5.0,1.0,superread
3450,NiceREAD MORE,5.0,1.0,niceread
3451,NiceREAD MORE,5.0,1.0,niceread
3452,SupperREAD MORE,5.0,1.0,supperread
3453,It wont last in outdoor courtI prefer mavis 10👍READ MORE,2.0,0.0,wont last outdoor courti prefer mavis read
3454,BEST PREFERENCE Original yonex and best quality.READ MORE,5.0,1.0,best preference original yonex best qualityread
3455,Very bad product waste moneyREAD MORE,1.0,0.0,bad product waste moneyread
3456,🖤loveditREAD MORE,5.0,1.0,loveditread
3457,GoodREAD MORE,4.0,1.0,goodread
3458,Nice 👌 worth the moneyREAD MORE,4.0,1.0,nice worth moneyread
3459,Good productREAD MORE,5.0,1.0,good productread
3460,OkREAD MORE,5.0,1.0,okread
3461,Value for money shuttleREAD MORE,5.0,1.0,value money shuttleread
3463,They are good . The market price is 840 but I got it at 650 . Nice buyREAD MORE,5.0,1.0,good market price got nice buyread
3464,Nice productREAD MORE,5.0,1.0,nice productread
3465,Medium quality..READ MORE,2.0,0.0,medium qualityread
3466,I got used product in this purchase.....READ MORE,1.0,0.0,got used product purchaseread
3467,OkREAD MORE,1.0,0.0,okread
3468,The product is very good . And the delivery was on the time .It only take 2 daysREAD MORE,5.0,1.0,product good delivery time take daysread
3469,Awesome productsREAD MORE,4.0,1.0,awesome productsread
3470,Very goodREAD MORE,5.0,1.0,goodread
3471,The product is original . Recieved one day before estimmelivery time . Delivery boys' behaviour was very good .I have purchased it for 689READ MORE,5.0,1.0,product original recieved one day estimmelivery time delivery boy behaviour good purchased read
3472,First look   and first taken corck is good...  balance shuttle on the way....  better shuttle.....READ MORE,4.0,1.0,first look first taken corck good balance shuttle way better shuttleread
3473,Well Packed and very quickly delivered. Quality of the product is too good as expected.READ MORE,5.0,1.0,well packed quickly delivered quality product good expectedread
3474,2 corks r slightly damaged but others r okayWorth to buyREAD MORE,4.0,1.0,cork r slightly damaged others r okayworth buyread
3475,Good oneREAD MORE,4.0,1.0,good oneread
3476,Delivery is fast and good.price is too muchREAD MORE,5.0,1.0,delivery fast goodprice muchread
3477,Perfect and originalREAD MORE,5.0,1.0,perfect originalread
3478,Great product  and deliveryREAD MORE,5.0,1.0,great product deliveryread
3479,It seems ok by looks. I would rewrite after using whole 2 tube of shuttle.READ MORE,4.0,1.0,seems ok look would rewrite using whole tube shuttleread
3480,NiceREAD MORE,4.0,1.0,niceread
3481,The very first use the Cork become loose from the skirtREAD MORE,2.0,0.0,first use cork become loose skirtread
3482,Very well shuttleREAD MORE,5.0,1.0,well shuttleread
3483,Good Quality  I am satisfied this productREAD MORE,5.0,1.0,good quality satisfied productread
3484,Nice product. Original product.READ MORE,4.0,1.0,nice product original productread
3485,ExcellentREAD MORE,5.0,1.0,excellentread
3486,This Mavis 350 is indoor purpose good and outdoor players also uses when no air is there in playing time Ok good  product 👍READ MORE,4.0,1.0,mavis indoor purpose good outdoor player also us air playing time ok good product read
3487,SupebREAD MORE,5.0,1.0,supebread
3488,Green capREAD MORE,5.0,1.0,green capread
3489,NiceREAD MORE,5.0,1.0,niceread
3490,Nice productREAD MORE,5.0,1.0,nice productread
3491,goodREAD MORE,4.0,1.0,goodread
3492,"A good quality product, all the 6 shuttle are looking perfect without any defects. Using it from past 7 days and still even after many smashes and so many hours of play shuttle is holding its shape properly.READ MORE",5.0,1.0,good quality product shuttle looking perfect without defect using past day still even many smash many hour play shuttle holding shape properlyread
3493,Good for indoor and outdoor as wellREAD MORE,5.0,1.0,good indoor outdoor wellread
3495,Just love itREAD MORE,4.0,1.0,love itread
3497,Genuine productREAD MORE,5.0,1.0,genuine productread
3498,Good productREAD MORE,5.0,1.0,good productread
3499,SuperREAD MORE,4.0,1.0,superread
3500,Very niceREAD MORE,5.0,1.0,niceread
3501,GoodREAD MORE,5.0,1.0,goodread
3502,NiceREAD MORE,4.0,1.0,niceread
3503,Dont buy local shattle second qualityFlipkart cheat meREAD MORE,1.0,0.0,dont buy local shattle second qualityflipkart cheat meread
3504,Good original product...at low prices.. thank youREAD MORE,5.0,1.0,good original productat low price thank youread
3505,Thank you very much for timely deliveredREAD MORE,5.0,1.0,thank much timely deliveredread
3506,AmazingREAD MORE,5.0,1.0,amazingread
3507,SuperbREAD MORE,5.0,1.0,superbread
3508,Product is good . But I'm disappointed with flipcart because the delivery man is taking extra charges during cash on deliveryREAD MORE,4.0,1.0,product good im disappointed flipcart delivery man taking extra charge cash deliveryread
3509,NiceREAD MORE,5.0,1.0,niceread
3510,"this product is very good for practice, but don't compare to feather cork.READ MORE",5.0,1.0,product good practice dont compare feather corkread
3511,Quality is goodREAD MORE,5.0,1.0,quality goodread
3512,This product is good but more lite requared.READ MORE,4.0,1.0,product good lite requaredread
3513,SuperREAD MORE,5.0,1.0,superread
3514,Nice product and good serviceREAD MORE,4.0,1.0,nice product good serviceread
3515,Good qualityREAD MORE,5.0,1.0,good qualityread
3516,Good qualityREAD MORE,4.0,1.0,good qualityread
3518,superREAD MORE,4.0,1.0,superread
3519,SuperREAD MORE,5.0,1.0,superread
3521,God quality and good response.READ MORE,5.0,1.0,god quality good responseread
3522,Best PriseREAD MORE,4.0,1.0,best priseread
3524,Super. Produced..READ MORE,4.0,1.0,super producedread
3525,Taken 2 weeks time to deliver the product. Product is not upto the mark. Don't buyREAD MORE,1.0,0.0,taken week time deliver product product upto mark dont buyread
3526,Best Balanced Shuttle...READ MORE,5.0,1.0,best balanced shuttleread
3527,Its good ...READ MORE,5.0,1.0,good read
3528,The bestREAD MORE,5.0,1.0,bestread
3529,GoodREAD MORE,4.0,1.0,goodread
3530,Very good productREAD MORE,4.0,1.0,good productread
3531,Nice shuttleREAD MORE,5.0,1.0,nice shuttleread
3532,BetterREAD MORE,5.0,1.0,betterread
3533,Good..READ MORE,5.0,1.0,goodread
3534,Nice one....READ MORE,5.0,1.0,nice oneread
3535,Excellent product .. fast deliveryREAD MORE,5.0,1.0,excellent product fast deliveryread
3536,NiceREAD MORE,4.0,1.0,niceread
3537,Nice 👍READ MORE,5.0,1.0,nice read
3538,GoodREAD MORE,5.0,1.0,goodread
3539,SuperbREAD MORE,5.0,1.0,superbread
3540,Go for itREAD MORE,5.0,1.0,go itread
3541,Better quality than any otherREAD MORE,4.0,1.0,better quality otherread
3542,"All good, lightREAD MORE",5.0,1.0,good lightread
3543,Good Quality.READ MORE,4.0,1.0,good qualityread
3544,Nice productREAD MORE,5.0,1.0,nice productread
3545,Shuttle are really slow and better for playing at indoorsREAD MORE,5.0,1.0,shuttle really slow better playing indoorsread
3546,product is originalREAD MORE,5.0,1.0,product originalread
3547,Nice productREAD MORE,5.0,1.0,nice productread
3548,Very good productREAD MORE,5.0,1.0,good productread
3549,GoodREAD MORE,5.0,1.0,goodread
3550,GoodREAD MORE,5.0,1.0,goodread
3552,goodREAD MORE,5.0,1.0,goodread
3553,Good quality product worth of moneyREAD MORE,4.0,1.0,good quality product worth moneyread
3554,HUMBLY THANKS FOR THIS COOL PRODUCTREAD MORE,5.0,1.0,humbly thanks cool productread
3555,Best In RangeREAD MORE,5.0,1.0,best rangeread
3556,This shuttle is break very fast It is not better then  Mavis 200iREAD MORE,2.0,0.0,shuttle break fast better mavis iread
3557,Tnq for fast delivery and exact productREAD MORE,5.0,1.0,tnq fast delivery exact productread
3558,ExcellentREAD MORE,4.0,1.0,excellentread
3559,"Ordered for slow, but all the shuttles are too fast, disappointed this time. Moving forward will see alternative.READ MORE",1.0,0.0,ordered slow shuttle fast disappointed time moving forward see alternativeread
3560,Good durability and fast recoveryREAD MORE,5.0,1.0,good durability fast recoveryread
3561,GoodREAD MORE,4.0,1.0,goodread
3563,worst qualityREAD MORE,1.0,0.0,worst qualityread
3564,Good product in quality and for practice. Each shuttle will work for min 10-15 days if you are playing intensively.READ MORE,5.0,1.0,good product quality practice shuttle work min day playing intensivelyread
3565,Good shuttlesREAD MORE,4.0,1.0,good shuttlesread
3566,Super QualityREAD MORE,5.0,1.0,super qualityread
3567,Good.READ MORE,5.0,1.0,goodread
3568,Nice productREAD MORE,4.0,1.0,nice productread
3570,good prodactREAD MORE,5.0,1.0,good prodactread
3571,Good enoughREAD MORE,4.0,1.0,good enoughread
3572,Good itemREAD MORE,5.0,1.0,good itemread
3573,NiceREAD MORE,4.0,1.0,niceread
3574,Very pooor quality. It's already finished a box in 2 days.READ MORE,1.0,0.0,pooor quality already finished box daysread
3575,"Nice shettles,maintained quality till 15 matches,i think it can maintain its quality up to 30 and contineous,totally a good product,thanks to flipkart and the seller.....READ MORE",5.0,1.0,nice shettlesmaintained quality till matchesi think maintain quality contineoustotally good productthanks flipkart sellerread
3576,Nice shuttleREAD MORE,5.0,1.0,nice shuttleread
3577,very good productREAD MORE,5.0,1.0,good productread
3578,Original itemsREAD MORE,5.0,1.0,original itemsread
3579,As per expectations... I was lil hesitant buying online but great experiance... genuine product..READ MORE,5.0,1.0,per expectation lil hesitant buying online great experiance genuine productread
3580,1 Number ProductREAD MORE,5.0,1.0,number productread
3581,Yonex is always my first choice.READ MORE,5.0,1.0,yonex always first choiceread
3582,Good qualityREAD MORE,5.0,1.0,good qualityread
3583,The best quality product from Yonex...READ MORE,5.0,1.0,best quality product yonexread
3584,Bad qualityREAD MORE,2.0,0.0,bad qualityread
3585,Very bad product...Got damaged within a return period!!!And also not played heavily!!! worst from FlipkartREAD MORE,1.0,0.0,bad productgot damaged within return periodand also played heavily worst flipkartread
3586,Very worst productREAD MORE,5.0,1.0,worst productread
3587,"Very bad quality, playing only 3-4 days damaged.READ MORE",1.0,0.0,bad quality playing day damagedread
3588,Average quality. You can palay 5 to 10 game roughly.READ MORE,4.0,1.0,average quality palay game roughlyread
3589,Good oneREAD MORE,5.0,1.0,good oneread
3590,NiceREAD MORE,4.0,1.0,niceread
3591,Good choiceREAD MORE,5.0,1.0,good choiceread
3592,Worth the amount invested. Great quality productREAD MORE,5.0,1.0,worth amount invested great quality productread
3593,Superb collectionREAD MORE,4.0,1.0,superb collectionread
3594,Too good to playREAD MORE,5.0,1.0,good playread
3595,Good shapeREAD MORE,4.0,1.0,good shaperead
3596,Good productREAD MORE,4.0,1.0,good productread
3597,It is good qualityREAD MORE,5.0,1.0,good qualityread
3598,Great productREAD MORE,5.0,1.0,great productread
3599,SuperREAD MORE,5.0,1.0,superread
3600,Nice....READ MORE,5.0,1.0,niceread
3601,"Original product, graet , felling very ,Happy.READ MORE",5.0,1.0,original product graet felling happyread
3602,AwesomeREAD MORE,5.0,1.0,awesomeread
3603,Good product from yonexREAD MORE,5.0,1.0,good product yonexread
3605,Excellent product and worth the priceREAD MORE,5.0,1.0,excellent product worth priceread
3608,Genuine product at a subsidised price. Thank you FlipkartREAD MORE,5.0,1.0,genuine product subsidised price thank flipkartread
3609,GoodREAD MORE,5.0,1.0,goodread
3610,GoodREAD MORE,5.0,1.0,goodread
3611,good qualityREAD MORE,5.0,1.0,good qualityread
3612,SuperREAD MORE,5.0,1.0,superread
3613,"Really nice shuttles. Almost one and a half months have passed and we are still playing with the first shuttle we took out of the box, with light hitting of around 1 hour daily.READ MORE",5.0,1.0,really nice shuttle almost one half month passed still playing first shuttle took box light hitting around hour dailyread
3614,NiceREAD MORE,5.0,1.0,niceread
3616,I need more slowREAD MORE,1.0,0.0,need slowread
3617,Nice one 👍READ MORE,4.0,1.0,nice one read
3618,Good  productREAD MORE,5.0,1.0,good productread
3619,GoodREAD MORE,5.0,1.0,goodread
3620,V goodREAD MORE,4.0,1.0,v goodread
3621,Good quality shuttle at a good price...READ MORE,4.0,1.0,good quality shuttle good priceread
3623,Go for it ... highly durable ....quality is good ...READ MORE,4.0,1.0,go highly durable quality good read
3624,Very nice productREAD MORE,5.0,1.0,nice productread
3625,The best available in market.READ MORE,5.0,1.0,best available marketread
3626,SlowREAD MORE,1.0,0.0,slowread
3627,Nice one. good packagingREAD MORE,4.0,1.0,nice one good packagingread
3628,SuperREAD MORE,5.0,1.0,superread
3630,Good quality productsREAD MORE,5.0,1.0,good quality productsread
3632,Very goodREAD MORE,4.0,1.0,goodread
3633,Go awayREAD MORE,1.0,0.0,go awayread
3634,Best in the business. One shuttle lasts for at least 40-50 hard smashing matches . Even after that the shuttle remains in one piece and you actually change it for rectifying some balancing issues.READ MORE,5.0,1.0,best business one shuttle last least hard smashing match even shuttle remains one piece actually change rectifying balancing issuesread
3635,NiceREAD MORE,5.0,1.0,niceread
3636,Really amazingREAD MORE,5.0,1.0,really amazingread
3637,Super and very nice 👌READ MORE,5.0,1.0,super nice read
3638,Fabulous slow shuttle best in this categoryREAD MORE,5.0,1.0,fabulous slow shuttle best categoryread
3639,ExcellentREAD MORE,5.0,1.0,excellentread
3640,Superhit product& superfast delivery by flipkart👌👌 100/100 for very nice experienceREAD MORE,5.0,1.0,superhit product superfast delivery flipkart nice experienceread
3641,SuperREAD MORE,5.0,1.0,superread
3642,GoodREAD MORE,4.0,1.0,goodread
3643,The quality is very good and i recommend itREAD MORE,5.0,1.0,quality good recommend itread
3644,GoodREAD MORE,4.0,1.0,goodread
3645,Just got within days of order.  Quality is very nice.  Blindly buy itREAD MORE,5.0,1.0,got within day order quality nice blindly buy itread
3646,SuperREAD MORE,5.0,1.0,superread
3647,Super goodREAD MORE,5.0,1.0,super goodread
3648,The product is very good and the shuttle is same as Mavis 350 of green color. Awesome product and I loved it very much. One negative is that it sometimes gets disappear in white LED light while playing but it is of the same kind of green one.READ MORE,5.0,1.0,product good shuttle mavis green color awesome product loved much one negative sometimes get disappear white led light playing kind green oneread
3649,NiceREAD MORE,4.0,1.0,niceread
3650,GoodREAD MORE,5.0,1.0,goodread
3651,SuperREAD MORE,4.0,1.0,superread
3652,ExcellentREAD MORE,5.0,1.0,excellentread
3653,Very nice product n delivery  is very fastREAD MORE,5.0,1.0,nice product n delivery fastread
3654,Good productREAD MORE,5.0,1.0,good productread
